As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Anomaly,Comments
2023-09-30,1111,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,39429,39358,71,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,1111,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,11983,11979,4,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,1111,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,10808,10741,67,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,1111,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,22980,23556,-576,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,1111,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,45798,45537,261,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,1111,1619205,6783,EUR,ALL OTHER LOANS,PRINCIPAL,38032,38407,-375,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,29401,29401,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,49328,49328,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,14446,14446,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,22939,22939,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,17266,17266,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,14189,7828,6361,break,Yes,Sudden drop in IHub balance
2023-09-30,0000,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,36182,36704,-522,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,0000,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,35749,35312,437,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,0000,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,39833,39266,567,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,0000,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,29702,29972,-270,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,0000,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,47039,46589,450,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,0000,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,28351,28332,19,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,1111,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,34826,34826,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,15696,15696,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,15634,15634,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,24399,24399,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,47665,47665,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1619205,4398,USD,ALL OTHER LOANS,PRINCIPAL,21182,21182,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17688,17688,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,23524,23524,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,36569,36569,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16719,16719,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,43560,43560,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17058,25416,-8358,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28821,28821,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,14021,14021,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16862,16862,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49465,49465,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,40476,40476,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28660,28660,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,10924,10924,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,43619,43619,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20042,20042,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,47648,47648,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,23847,23847,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49961,61515,-11554,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED COSTS,44961,44961,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED COSTS,28967,28967,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED COSTS,21305,21305,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED COSTS,40602,40602,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED COSTS,41585,41585,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,4398,EUR,ALL OTHER LOANS,DEFERRED COSTS,40636,40636,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,22039,22039,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,37585,37585,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48388,48388,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,45786,45786,0,match,No,Outstanding balances are in line with previous months
